CH1,CH2,CH3,CH4
732,731,731,732
731,731,732,733
729,728,731,732
727,728,728,728
726,725,725,726
725,724,723,725
723,722,721,724
722,721,719,719
722,724,718,718
725,725,720,721
726,727,724,725
728,729,727,728
733,732,732,733
734,734,734,736
734,735,737,739
734,736,736,738
733,734,733,734
732,731,733,733
731,731,731,732
729,729,729,732
726,725,726,726
725,725,725,727
722,725,724,725
723,724,720,721
723,722,717,721
723,723,719,721
725,725,721,723
727,727,725,727
728,729,727,728
732,733,733,734
734,736,737,740
734,736,736,737
732,735,733,736
731,732,731,735
729,732,730,734
728,729,729,733
725,727,726,728
724,725,726,728
723,725,722,726
722,725,719,723
723,723,717,722
723,724,718,722
725,727,720,724
728,728,724,729
729,729,728,732
733,733,733,737
734,735,735,742
736,737,736,743
735,734,733,739
732,732,733,735
731,731,732,734
727,728,731,734
726,730,730,732
724,724,727,729
723,724,726,728
723,723,723,725
723,723,720,723
722,723,718,720
724,726,719,724
725,727,723,726
726,729,725,729
732,732,733,736
732,733,734,738
734,735,735,740
733,736,738,740
732,735,734,736
731,732,731,734
730,731,730,733
728,730,728,734
727,726,726,730
724,725,726,727
723,724,724,726
720,724,720,722
722,723,718,720
723,723,718,723
724,725,718,725
727,727,722,728
728,728,725,730
730,732,731,736
732,734,736,739
734,735,739,742
735,734,738,741
732,732,737,738
730,732,735,735
729,729,733,734
728,729,730,731
725,727,725,728
725,725,725,727
724,724,723,725
722,723,721,722
721,724,719,721
723,724,721,722
725,726,722,725
727,729,724,728
729,731,728,733
732,735,733,736
733,735,736,739
734,736,737,739
734,735,734,739
732,732,734,737
731,732,732,734
730,729,730,733
728,728,728,733
725,726,724,729
724,725,722,727
723,723,720,725
723,722,718,722
721,723,718,719
723,725,721,724
724,727,725,726
727,729,729,729
732,733,733,735
733,734,738,738
734,735,736,740
734,735,737,740
731,735,734,737
732,733,732,737
730,731,731,734
729,730,729,733
726,727,727,731
725,726,725,729
725,725,723,726
722,724,720,721
722,723,718,723
723,723,720,725
723,725,722,725
728,727,725,729
727,729,728,730
732,734,732,735
734,735,733,740
736,736,735,741
734,734,733,740
732,732,732,736
730,731,731,735
729,729,731,733
727,729,731,732
723,726,727,728
724,726,725,727
724,723,724,726
723,723,721,722
721,723,719,721
722,725,719,723
724,727,723,725
726,728,725,728
729,732,730,733
733,734,734,735
733,734,736,739
734,736,739,741
731,735,734,737
732,733,732,736
730,732,732,734
729,730,730,733
727,728,729,732
725,726,725,729
723,725,723,726
724,723,720,723
722,723,716,721
723,721,717,722
725,725,720,723
727,726,722,726
727,728,726,729
731,734,733,736
734,734,734,738
734,735,737,740
735,735,737,741
731,733,735,735
730,732,733,736
730,730,729,735
727,729,727,732
726,727,724,728
725,725,722,727
724,724,722,725
722,722,720,724
721,723,720,721
723,724,721,721
724,726,724,724
727,728,726,727
728,729,728,730
733,733,732,735
734,734,737,738
734,737,738,740
734,735,736,738
733,733,732,736
730,731,731,734
729,730,729,734
729,728,728,734
724,726,725,729
726,725,725,728
723,724,723,725
724,723,718,722
722,722,719,721
723,724,721,724
725,726,723,728
727,728,726,729
730,732,731,734
733,733,732,738
733,734,733,740
736,735,734,740
733,733,733,737
731,733,732,735
731,731,732,736
728,729,731,733
729,729,729,733
726,725,726,728
726,724,726,727
724,722,725,726
722,724,721,722
721,724,718,721
723,725,720,724
724,728,722,725
726,729,725,729
731,732,731,735
733,734,733,738
734,735,735,740
734,736,734,738
733,733,731,736
731,731,732,735
730,730,731,734
728,728,731,733
726,726,727,729
724,725,725,728
723,725,723,727
723,723,719,723
722,722,718,721
722,724,719,723
724,724,721,725
726,728,725,727
728,729,727,730
732,733,733,737
733,734,736,739
734,735,738,740
733,735,738,739
732,733,735,737
731,731,734,736
729,731,732,733
728,728,729,732
725,726,726,728
725,724,725,728
723,724,723,725
723,724,720,721
723,723,717,721
724,724,719,724
726,726,721,727
727,728,724,728
729,733,729,733
732,733,733,736
734,735,735,739
735,735,736,741
733,733,735,738
730,733,735,735
731,731,731,735
728,730,730,732
728,729,727,731
726,725,723,728
724,724,721,725
722,723,718,722
721,723,718,720
721,725,720,723
723,725,723,726
725,728,725,727
727,729,727,729
732,733,733,737
732,734,736,738
733,736,738,740
734,737,737,739
733,734,734,736
731,732,732,736
729,731,731,734
729,729,729,733
726,725,725,729
725,725,725,728
725,725,722,724
723,724,718,722
723,722,717,724
722,723,719,724
724,726,721,725
727,727,727,729
728,730,728,730
731,733,733,736
733,735,737,740
734,735,738,742
734,734,737,739
731,733,736,736
731,732,733,735
728,730,731,732
728,729,729,732
725,726,724,728
724,723,724,726
723,725,722,726
722,724,719,721
722,723,717,720
723,725,720,723
725,727,722,727
727,728,726,729
730,733,731,733
732,734,734,737
734,735,735,738
735,736,736,740
734,733,734,739
730,732,733,736
731,732,729,735
728,728,731,730
728,728,727,731
726,727,721,727
724,724,723,726
723,722,723,723
721,722,721,721
721,724,719,721
723,725,721,723
725,728,725,726
728,729,726,729
731,732,733,735
733,735,736,738
734,736,738,738
734,736,737,739
733,734,734,735
732,731,733,735
730,731,732,733
729,728,730,733
725,727,724,729
724,725,725,729
724,724,722,726
723,724,719,724
722,723,717,722
722,723,719,723
725,725,721,725
727,727,726,729
728,729,728,731
732,733,733,736
734,735,736,739
735,735,738,741
734,734,737,740
731,733,735,735
731,731,733,734
